[Measurement Properties]
Wavelength Range (nm.):	740,00 to 1050,00
Scan Speed:	Very Slow
Sampling Interval:	0,2
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	WI
Detector Unit:	Integral Sphere
Detector Change Wavelength:	920,00 nm  1650,00 nm
Grating Change Wavelength:	850,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	POSITION_1.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	04MAY2015
FILTER#12
BRAZIL

Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
977,40	100,010	98,173	98,168	98,187	98,206	98,205	98,211	98,205	98,201	98,197	97,974	98,180	98,224	98,240	98,219	98,198	98,217	98,232	98,224	98,237	98,205	98,212	98,197	98,224	98,222	98,216	98,199	98,227	98,245	98,189	98,184	98,192	98,205	98,225	98,219	98,206	98,211	98,233	98,233	98,213	98,191	98,177	98,148	98,216	98,203	98,224	98,228	98,212	98,213	98,224	98,229	98,159	98,159	98,207	98,200	98,128	98,212	98,223	98,218	98,213	98,192	98,188	98,226	98,221	98,243	98,100	98,198	98,230	98,257	98,221	98,188	98,147	98,208	98,211	98,210	98,237	98,240	98,247	98,236	98,246	98,228	98,157	98,219	98,210	98,229	98,252	98,210	98,243	98,243	98,268	98,220	98,171	98,201	98,152	98,212	98,221	98,211	98,212	98,220	98,180	98,113	100,013
977,60	100,003	98,178	98,163	98,188	98,190	98,189	98,193	98,178	98,191	98,213	97,987	98,189	98,196	98,238	98,198	98,202	98,199	98,227	98,221	98,212	98,201	98,196	98,197	98,222	98,219	98,216	98,198	98,222	98,223	98,206	98,183	98,177	98,214	98,216	98,201	98,193	98,206	98,219	98,233	98,219	98,197	98,181	98,134	98,210	98,195	98,209	98,214	98,210	98,208	98,229	98,198	98,185	98,157	98,207	98,214	98,122	98,207	98,219	98,232	98,224	98,213	98,201	98,193	98,200	98,214	98,090	98,180	98,226	98,226	98,206	98,165	98,155	98,179	98,224	98,229	98,238	98,208	98,239	98,237	98,232	98,243	98,138	98,189	98,223	98,216	98,226	98,205	98,214	98,246	98,242	98,213	98,161	98,191	98,158	98,200	98,237	98,196	98,226	98,225	98,172	98,138	99,981
977,80	99,996	98,165	98,176	98,183	98,206	98,201	98,202	98,168	98,183	98,180	97,963	98,175	98,190	98,207	98,193	98,187	98,187	98,210	98,209	98,208	98,190	98,193	98,181	98,208	98,201	98,190	98,171	98,206	98,223	98,171	98,163	98,163	98,177	98,201	98,195	98,189	98,189	98,209	98,226	98,180	98,176	98,160	98,124	98,199	98,183	98,176	98,195	98,199	98,188	98,196	98,206	98,152	98,134	98,173	98,176	98,105	98,193	98,214	98,192	98,199	98,170	98,174	98,203	98,197	98,222	98,072	98,182	98,222	98,223	98,216	98,169	98,142	98,193	98,196	98,182	98,205	98,218	98,236	98,225	98,219	98,221	98,120	98,196	98,181	98,222	98,237	98,178	98,229	98,212	98,240	98,202	98,147	98,189	98,134	98,199	98,198	98,187	98,178	98,192	98,177	98,098	99,997
978,00	100,016	98,181	98,167	98,190	98,209	98,206	98,210	98,206	98,202	98,213	97,989	98,191	98,223	98,248	98,219	98,211	98,217	98,235	98,234	98,234	98,209	98,213	98,214	98,234	98,222	98,230	98,212	98,234	98,247	98,213	98,192	98,195	98,219	98,234	98,218	98,210	98,215	98,236	98,246	98,229	98,203	98,187	98,143	98,225	98,218	98,230	98,232	98,216	98,221	98,242	98,232	98,163	98,173	98,221	98,224	98,127	98,220	98,229	98,234	98,232	98,215	98,202	98,217	98,224	98,228	98,112	98,200	98,222	98,247	98,214	98,177	98,149	98,192	98,218	98,238	98,254	98,227	98,246	98,248	98,248	98,244	98,165	98,210	98,237	98,228	98,242	98,229	98,246	98,250	98,260	98,226	98,178	98,208	98,169	98,203	98,239	98,206	98,233	98,248	98,176	98,138	99,987
978,20	99,999	98,171	98,155	98,186	98,187	98,186	98,174	98,158	98,181	98,194	97,973	98,187	98,180	98,215	98,192	98,187	98,180	98,214	98,208	98,193	98,190	98,193	98,183	98,209	98,208	98,202	98,178	98,209	98,209	98,192	98,164	98,172	98,201	98,205	98,196	98,184	98,190	98,204	98,231	98,188	98,186	98,167	98,122	98,201	98,191	98,193	98,185	98,197	98,191	98,206	98,184	98,170	98,141	98,185	98,191	98,099	98,197	98,215	98,218	98,212	98,180	98,186	98,192	98,192	98,216	98,074	98,180	98,228	98,207	98,218	98,164	98,151	98,186	98,211	98,195	98,206	98,214	98,238	98,229	98,223	98,235	98,117	98,184	98,193	98,230	98,234	98,183	98,215	98,231	98,230	98,202	98,146	98,186	98,137	98,204	98,209	98,184	98,188	98,196	98,185	98,116	99,995
978,40	99,998	98,160	98,172	98,185	98,202	98,202	98,197	98,173	98,180	98,166	97,960	98,172	98,198	98,207	98,197	98,178	98,192	98,208	98,207	98,209	98,184	98,195	98,179	98,206	98,200	98,194	98,176	98,202	98,226	98,172	98,162	98,164	98,179	98,207	98,192	98,185	98,185	98,207	98,220	98,191	98,174	98,160	98,122	98,194	98,187	98,184	98,210	98,187	98,185	98,201	98,204	98,149	98,132	98,182	98,179	98,093	98,186	98,208	98,193	98,199	98,173	98,166	98,195	98,214	98,214	98,087	98,182	98,204	98,221	98,195	98,161	98,118	98,169	98,187	98,194	98,219	98,219	98,222	98,219	98,231	98,211	98,144	98,194	98,196	98,211	98,219	98,195	98,235	98,209	98,237	98,195	98,151	98,185	98,139	98,182	98,198	98,181	98,191	98,212	98,149	98,091	99,976
978,60	100,003	98,176	98,157	98,188	98,200	98,196	98,207	98,189	98,192	98,210	97,989	98,191	98,209	98,241	98,209	98,202	98,212	98,242	98,228	98,211	98,207	98,201	98,211	98,230	98,225	98,223	98,209	98,219	98,235	98,218	98,187	98,187	98,226	98,230	98,214	98,200	98,207	98,222	98,243	98,226	98,204	98,185	98,133	98,209	98,213	98,230	98,215	98,214	98,218	98,233	98,220	98,154	98,162	98,213	98,218	98,112	98,208	98,224	98,237	98,232	98,210	98,198	98,199	98,209	98,221	98,104	98,192	98,234	98,221	98,221	98,172	98,162	98,189	98,227	98,234	98,238	98,220	98,249	98,242	98,237	98,249	98,147	98,191	98,225	98,239	98,235	98,215	98,238	98,258	98,253	98,222	98,169	98,203	98,170	98,206	98,232	98,190	98,219	98,225	98,190	98,140	99,998
978,80	99,995	98,163	98,154	98,182	98,189	98,179	98,168	98,143	98,168	98,178	97,959	98,175	98,173	98,197	98,186	98,178	98,182	98,212	98,200	98,186	98,179	98,185	98,168	98,198	98,199	98,189	98,156	98,201	98,199	98,180	98,151	98,163	98,186	98,196	98,187	98,176	98,178	98,196	98,220	98,181	98,174	98,149	98,118	98,187	98,185	98,179	98,187	98,184	98,171	98,184	98,172	98,159	98,128	98,163	98,164	98,086	98,179	98,203	98,197	98,195	98,154	98,162	98,186	98,198	98,216	98,066	98,177	98,205	98,214	98,205	98,169	98,121	98,169	98,192	98,176	98,198	98,220	98,224	98,211	98,214	98,215	98,133	98,189	98,175	98,221	98,221	98,175	98,204	98,212	98,223	98,191	98,132	98,176	98,117	98,187	98,182	98,173	98,173	98,185	98,158	98,080	99,984
979,00	99,991	98,148	98,171	98,179	98,202	98,199	98,204	98,175	98,178	98,171	97,961	98,170	98,196	98,209	98,192	98,177	98,194	98,218	98,211	98,198	98,176	98,192	98,181	98,205	98,204	98,196	98,196	98,188	98,232	98,181	98,159	98,153	98,184	98,210	98,192	98,183	98,185	98,202	98,210	98,205	98,177	98,162	98,116	98,184	98,194	98,194	98,199	98,184	98,191	98,213	98,208	98,139	98,138	98,192	98,191	98,090	98,180	98,206	98,197	98,205	98,188	98,175	98,180	98,191	98,196	98,086	98,169	98,194	98,207	98,187	98,148	98,126	98,155	98,193	98,215	98,224	98,202	98,214	98,211	98,230	98,215	98,133	98,172	98,209	98,203	98,203	98,196	98,231	98,214	98,230	98,198	98,147	98,180	98,142	98,173	98,210	98,171	98,205	98,213	98,147	98,106	99,964
979,20	100,002	98,181	98,152	98,190	98,192	98,191	98,207	98,175	98,184	98,211	97,986	98,194	98,195	98,226	98,199	98,197	98,206	98,246	98,225	98,205	98,198	98,202	98,197	98,220	98,225	98,216	98,192	98,222	98,224	98,214	98,176	98,181	98,230	98,216	98,210	98,195	98,203	98,224	98,245	98,212	98,204	98,178	98,141	98,206	98,213	98,230	98,197	98,217	98,208	98,218	98,210	98,150	98,156	98,191	98,199	98,104	98,196	98,221	98,231	98,221	98,183	98,198	98,197	98,204	98,237	98,093	98,197	98,235	98,226	98,237	98,184	98,162	98,198	98,228	98,207	98,212	98,245	98,254	98,236	98,235	98,246	98,144	98,203	98,199	98,245	98,248	98,200	98,228	98,254	98,249	98,218	98,158	98,197	98,145	98,212	98,211	98,196	98,191	98,207	98,191	98,118	100,015
979,40	99,991	98,165	98,154	98,177	98,187	98,191	98,169	98,150	98,172	98,163	97,953	98,167	98,173	98,190	98,174	98,171	98,183	98,206	98,199	98,187	98,172	98,182	98,165	98,190	98,196	98,186	98,178	98,190	98,201	98,171	98,142	98,150	98,180	98,188	98,184	98,175	98,177	98,185	98,204	98,184	98,165	98,154	98,117	98,181	98,188	98,179	98,192	98,183	98,168	98,186	98,177	98,154	98,128	98,174	98,166	98,084	98,177	98,197	98,191	98,194	98,168	98,156	98,174	98,196	98,191	98,074	98,168	98,178	98,207	98,184	98,149	98,115	98,143	98,184	98,201	98,210	98,200	98,212	98,202	98,214	98,199	98,138	98,177	98,193	98,190	98,197	98,177	98,203	98,203	98,220	98,185	98,132	98,173	98,125	98,155	98,189	98,169	98,191	98,206	98,133	98,081	99,960
979,60	99,986	98,159	98,179	98,180	98,198	98,202	98,213	98,176	98,184	98,186	97,963	98,175	98,202	98,213	98,192	98,181	98,202	98,233	98,222	98,193	98,192	98,193	98,189	98,207	98,212	98,204	98,207	98,197	98,236	98,196	98,166	98,153	98,200	98,209	98,196	98,191	98,189	98,210	98,225	98,213	98,188	98,170	98,123	98,194	98,207	98,217	98,187	98,204	98,200	98,218	98,219	98,140	98,144	98,192	98,202	98,100	98,182	98,214	98,215	98,211	98,187	98,190	98,187	98,186	98,205	98,084	98,180	98,218	98,207	98,221	98,158	98,153	98,180	98,217	98,212	98,222	98,224	98,235	98,219	98,232	98,232	98,131	98,183	98,200	98,226	98,226	98,196	98,232	98,226	98,240	98,205	98,151	98,186	98,149	98,185	98,213	98,181	98,195	98,205	98,178	98,122	99,986
979,80	99,992	98,183	98,141	98,185	98,178	98,179	98,199	98,166	98,181	98,200	97,979	98,191	98,188	98,207	98,192	98,195	98,200	98,231	98,218	98,197	98,188	98,194	98,183	98,210	98,217	98,200	98,185	98,216	98,204	98,198	98,162	98,173	98,211	98,203	98,198	98,192	98,192	98,213	98,232	98,194	98,185	98,166	98,132	98,201	98,202	98,211	98,197	98,214	98,191	98,205	98,195	98,141	98,143	98,174	98,184	98,098	98,184	98,213	98,221	98,209	98,168	98,173	98,189	98,210	98,224	98,077	98,196	98,206	98,231	98,209	98,178	98,132	98,170	98,204	98,203	98,213	98,233	98,239	98,221	98,233	98,222	98,155	98,204	98,196	98,216	98,234	98,189	98,217	98,238	98,239	98,202	98,143	98,193	98,132	98,189	98,192	98,186	98,199	98,212	98,157	98,092	100,002
980,00	99,975	98,150	98,150	98,169	98,190	98,191	98,164	98,146	98,170	98,164	97,943	98,151	98,175	98,187	98,172	98,165	98,180	98,198	98,199	98,176	98,165	98,174	98,159	98,187	98,193	98,178	98,186	98,180	98,200	98,169	98,138	98,131	98,164	98,184	98,177	98,174	98,167	98,182	98,196	98,187	98,161	98,145	98,100	98,168	98,190	98,182	98,175	98,172	98,174	98,196	98,186	98,150	98,119	98,175	98,178	98,084	98,162	98,191	98,188	98,186	98,173	98,150	98,164	98,170	98,176	98,067	98,160	98,186	98,185	98,181	98,131	98,115	98,145	98,178	98,203	98,209	98,190	98,201	98,194	98,214	98,198	98,113	98,151	98,195	98,191	98,193	98,172	98,209	98,189	98,224	98,179	98,126	98,159	98,130	98,150	98,194	98,160	98,193	98,191	98,136	98,089	99,950
980,20	99,991	98,174	98,184	98,190	98,206	98,213	98,229	98,182	98,183	98,210	97,973	98,178	98,211	98,224	98,209	98,200	98,215	98,243	98,239	98,200	98,201	98,205	98,197	98,219	98,228	98,211	98,209	98,219	98,232	98,206	98,177	98,171	98,215	98,219	98,213	98,200	98,196	98,227	98,244	98,218	98,200	98,181	98,140	98,212	98,214	98,228	98,200	98,224	98,209	98,229	98,226	98,159	98,154	98,189	98,202	98,112	98,188	98,223	98,232	98,226	98,186	98,193	98,200	98,204	98,235	98,088	98,205	98,238	98,237	98,237	98,190	98,155	98,194	98,227	98,209	98,219	98,247	98,257	98,236	98,248	98,241	98,154	98,216	98,203	98,242	98,253	98,204	98,236	98,246	98,255	98,213	98,156	98,195	98,144	98,206	98,208	98,197	98,205	98,209	98,185	98,117	100,022
980,40	99,987	98,170	98,127	98,185	98,173	98,171	98,189	98,154	98,172	98,178	97,969	98,169	98,178	98,196	98,178	98,180	98,186	98,213	98,211	98,181	98,170	98,184	98,163	98,198	98,204	98,188	98,181	98,194	98,187	98,176	98,139	98,159	98,191	98,189	98,179	98,180	98,181	98,195	98,208	98,195	98,168	98,158	98,124	98,189	98,188	98,197	98,193	98,182	98,183	98,195	98,183	98,134	98,130	98,176	98,168	98,092	98,168	98,201	98,204	98,191	98,176	98,150	98,174	98,192	98,195	98,075	98,182	98,187	98,206	98,182	98,152	98,112	98,145	98,184	98,215	98,219	98,193	98,212	98,204	98,228	98,198	98,139	98,168	98,205	98,195	98,198	98,183	98,200	98,219	98,226	98,186	98,125	98,173	98,127	98,160	98,203	98,179	98,208	98,209	98,129	98,084	99,968
980,60	99,972	98,147	98,158	98,167	98,191	98,200	98,175	98,151	98,170	98,169	97,940	98,142	98,186	98,197	98,176	98,159	98,187	98,213	98,212	98,179	98,169	98,172	98,165	98,186	98,201	98,182	98,187	98,184	98,212	98,167	98,140	98,134	98,170	98,187	98,178	98,171	98,170	98,193	98,197	98,199	98,167	98,154	98,104	98,166	98,183	98,193	98,175	98,185	98,182	98,201	98,190	98,159	98,121	98,173	98,172	98,083	98,156	98,196	98,192	98,193	98,169	98,163	98,164	98,162	98,195	98,065	98,166	98,211	98,194	98,208	98,148	98,131	98,171	98,200	98,189	98,201	98,211	98,214	98,195	98,223	98,208	98,115	98,175	98,174	98,217	98,215	98,174	98,215	98,199	98,235	98,187	98,136	98,147	98,130	98,169	98,180	98,159	98,178	98,176	98,158	98,096	99,983
980,80	99,990	98,178	98,181	98,188	98,188	98,199	98,234	98,177	98,182	98,209	97,981	98,177	98,206	98,223	98,203	98,203	98,211	98,243	98,240	98,208	98,193	98,201	98,192	98,219	98,225	98,213	98,198	98,216	98,227	98,202	98,170	98,175	98,222	98,216	98,203	98,201	98,200	98,222	98,230	98,220	98,194	98,178	98,154	98,217	98,207	98,223	98,211	98,221	98,208	98,224	98,213	98,151	98,154	98,186	98,188	98,105	98,189	98,224	98,230	98,222	98,190	98,174	98,200	98,209	98,230	98,088	98,217	98,214	98,243	98,218	98,193	98,136	98,172	98,212	98,232	98,234	98,232	98,243	98,234	98,244	98,228	98,167	98,210	98,213	98,218	98,231	98,199	98,226	98,249	98,241	98,215	98,150	98,197	98,138	98,189	98,215	98,200	98,219	98,226	98,156	98,106	100,009
981,00	99,984	98,153	98,122	98,172	98,171	98,168	98,186	98,147	98,172	98,173	97,959	98,152	98,175	98,194	98,176	98,168	98,178	98,203	98,204	98,173	98,163	98,174	98,159	98,186	98,198	98,181	98,179	98,188	98,189	98,162	98,132	98,151	98,185	98,185	98,175	98,171	98,173	98,188	98,187	98,197	98,157	98,153	98,104	98,172	98,178	98,189	98,178	98,172	98,182	98,197	98,175	98,131	98,125	98,179	98,166	98,091	98,165	98,193	98,191	98,185	98,179	98,153	98,170	98,162	98,182	98,065	98,167	98,199	98,186	98,192	98,143	98,126	98,167	98,181	98,197	98,213	98,189	98,197	98,188	98,217	98,197	98,111	98,164	98,186	98,201	98,204	98,178	98,198	98,208	98,217	98,182	98,120	98,150	98,130	98,155	98,192	98,163	98,185	98,191	98,150	98,082	99,969
981,20	99,978	98,151	98,163	98,166	98,193	98,204	98,183	98,160	98,169	98,183	97,941	98,146	98,192	98,207	98,190	98,163	98,190	98,217	98,216	98,193	98,179	98,185	98,170	98,190	98,207	98,193	98,186	98,202	98,221	98,174	98,151	98,155	98,179	98,197	98,184	98,173	98,175	98,207	98,202	98,203	98,179	98,158	98,129	98,186	98,190	98,207	98,177	98,198	98,184	98,206	98,201	98,162	98,138	98,169	98,176	98,091	98,169	98,204	98,203	98,200	98,169	98,174	98,180	98,180	98,218	98,063	98,194	98,203	98,220	98,216	98,171	98,133	98,163	98,205	98,197	98,204	98,223	98,229	98,213	98,227	98,223	98,132	98,193	98,179	98,209	98,234	98,174	98,215	98,214	98,231	98,197	98,143	98,160	98,117	98,183	98,187	98,176	98,188	98,190	98,151	98,097	100,009
981,40	100,006	98,193	98,178	98,192	98,183	98,200	98,233	98,189	98,191	98,209	97,993	98,188	98,205	98,231	98,216	98,206	98,204	98,236	98,241	98,213	98,199	98,207	98,193	98,224	98,234	98,219	98,207	98,219	98,226	98,203	98,175	98,182	98,226	98,219	98,208	98,208	98,210	98,227	98,219	98,227	98,195	98,184	98,154	98,215	98,214	98,232	98,213	98,214	98,218	98,233	98,215	98,151	98,161	98,205	98,197	98,124	98,207	98,225	98,240	98,214	98,215	98,175	98,204	98,210	98,216	98,099	98,213	98,219	98,232	98,218	98,175	98,142	98,191	98,207	98,243	98,251	98,220	98,229	98,233	98,250	98,228	98,160	98,191	98,229	98,221	98,234	98,211	98,233	98,255	98,235	98,219	98,147	98,199	98,154	98,186	98,235	98,216	98,226	98,237	98,171	98,117	99,997
981,60	99,983	98,157	98,120	98,165	98,171	98,176	98,178	98,140	98,166	98,168	97,950	98,142	98,177	98,195	98,183	98,158	98,178	98,200	98,200	98,175	98,170	98,170	98,155	98,174	98,194	98,183	98,166	98,192	98,191	98,156	98,140	98,142	98,179	98,181	98,174	98,159	98,167	98,192	98,179	98,198	98,157	98,146	98,095	98,162	98,173	98,189	98,168	98,174	98,173	98,198	98,172	98,138	98,125	98,167	98,166	98,089	98,162	98,189	98,189	98,183	98,158	98,159	98,167	98,162	98,195	98,055	98,167	98,201	98,198	98,212	98,141	98,128	98,158	98,200	98,180	98,195	98,209	98,211	98,188	98,211	98,207	98,105	98,176	98,164	98,207	98,224	98,168	98,204	98,201	98,223	98,180	98,125	98,136	98,114	98,169	98,173	98,165	98,174	98,174	98,153	98,086	99,987
981,80	99,984	98,157	98,174	98,167	98,194	98,209	98,184	98,172	98,174	98,196	97,954	98,160	98,199	98,215	98,206	98,184	98,197	98,219	98,227	98,205	98,191	98,191	98,179	98,206	98,219	98,205	98,190	98,205	98,229	98,193	98,165	98,164	98,187	98,210	98,196	98,188	98,187	98,215	98,209	98,212	98,189	98,171	98,139	98,203	98,198	98,212	98,195	98,204	98,195	98,223	98,213	98,165	98,148	98,184	98,184	98,100	98,190	98,215	98,218	98,211	98,186	98,162	98,192	98,204	98,209	98,070	98,207	98,198	98,228	98,209	98,174	98,117	98,167	98,200	98,228	98,238	98,215	98,222	98,221	98,230	98,221	98,150	98,183	98,212	98,206	98,226	98,180	98,225	98,229	98,231	98,211	98,149	98,186	98,127	98,182	98,210	98,201	98,223	98,220	98,151	98,104	99,998
982,00	100,017	98,188	98,171	98,192	98,175	98,191	98,218	98,183	98,186	98,207	97,991	98,187	98,204	98,227	98,223	98,203	98,204	98,231	98,235	98,198	98,197	98,205	98,192	98,218	98,231	98,216	98,196	98,218	98,217	98,198	98,170	98,172	98,223	98,218	98,204	98,199	98,203	98,230	98,214	98,225	98,194	98,180	98,131	98,194	98,205	98,220	98,205	98,204	98,214	98,232	98,206	98,143	98,152	98,210	98,195	98,123	98,201	98,224	98,233	98,206	98,205	98,181	98,201	98,199	98,219	98,092	98,191	98,229	98,216	98,232	98,167	98,147	98,200	98,217	98,217	98,241	98,233	98,221	98,218	98,252	98,226	98,134	98,200	98,209	98,244	98,247	98,211	98,227	98,242	98,238	98,210	98,139	98,178	98,155	98,195	98,215	98,199	98,206	98,212	98,188	98,112	100,002
982,20	99,982	98,144	98,120	98,152	98,173	98,181	98,167	98,144	98,155	98,170	97,941	98,135	98,172	98,195	98,184	98,156	98,178	98,194	98,194	98,183	98,164	98,169	98,151	98,181	98,195	98,182	98,163	98,189	98,198	98,151	98,140	98,140	98,167	98,180	98,176	98,152	98,160	98,192	98,182	98,190	98,166	98,146	98,106	98,167	98,172	98,190	98,173	98,173	98,169	98,196	98,176	98,137	98,129	98,163	98,159	98,079	98,155	98,194	98,183	98,188	98,153	98,151	98,170	98,176	98,197	98,038	98,182	98,180	98,204	98,201	98,151	98,104	98,144	98,194	98,190	98,194	98,206	98,212	98,192	98,202	98,205	98,120	98,166	98,175	98,193	98,220	98,154	98,201	98,197	98,219	98,182	98,130	98,150	98,102	98,172	98,169	98,164	98,189	98,185	98,130	98,078	99,998
982,40	99,998	98,161	98,189	98,172	98,199	98,213	98,185	98,185	98,175	98,212	97,969	98,176	98,199	98,227	98,219	98,198	98,198	98,229	98,239	98,210	98,197	98,205	98,196	98,226	98,227	98,215	98,196	98,208	98,232	98,207	98,174	98,174	98,208	98,222	98,206	98,199	98,200	98,225	98,216	98,222	98,197	98,176	98,153	98,210	98,203	98,225	98,213	98,203	98,212	98,226	98,222	98,175	98,158	98,210	98,189	98,116	98,202	98,227	98,232	98,205	98,211	98,170	98,203	98,210	98,207	98,091	98,190	98,217	98,213	98,221	98,175	98,138	98,199	98,206	98,228	98,251	98,221	98,221	98,228	98,237	98,225	98,146	98,191	98,220	98,231	98,234	98,211	98,222	98,242	98,235	98,220	98,148	98,193	98,149	98,184	98,224	98,210	98,214	98,226	98,182	98,110	99,997
982,60	100,019	98,182	98,157	98,183	98,171	98,181	98,205	98,175	98,172	98,197	97,984	98,179	98,187	98,217	98,212	98,189	98,199	98,226	98,222	98,192	98,192	98,196	98,183	98,206	98,221	98,207	98,193	98,215	98,212	98,178	98,168	98,166	98,213	98,209	98,196	98,174	98,191	98,223	98,207	98,221	98,185	98,171	98,124	98,181	98,198	98,203	98,198	98,194	98,191	98,220	98,185	98,136	98,155	98,197	98,182	98,111	98,192	98,220	98,215	98,205	98,172	98,192	98,187	98,191	98,225	98,071	98,188	98,214	98,222	98,235	98,168	98,143	98,177	98,223	98,197	98,217	98,238	98,229	98,211	98,232	98,225	98,134	98,198	98,189	98,231	98,248	98,195	98,213	98,231	98,235	98,199	98,133	98,172	98,141	98,193	98,185	98,179	98,194	98,198	98,161	98,106	100,021
982,80	99,973	98,128	98,122	98,142	98,171	98,179	98,167	98,149	98,144	98,167	97,934	98,136	98,164	98,200	98,179	98,149	98,174	98,194	98,193	98,185	98,165	98,175	98,155	98,185	98,194	98,184	98,160	98,183	98,202	98,156	98,139	98,142	98,162	98,186	98,173	98,153	98,166	98,190	98,178	98,183	98,167	98,143	98,119	98,169	98,166	98,190	98,173	98,175	98,167	98,186	98,174	98,137	98,128	98,166	98,159	98,074	98,165	98,194	98,181	98,182	98,163	98,137	98,167	98,181	98,181	98,044	98,166	98,167	98,191	98,184	98,147	98,092	98,149	98,172	98,199	98,214	98,186	98,199	98,196	98,191	98,197	98,126	98,152	98,186	98,178	98,197	98,161	98,197	98,194	98,208	98,194	98,135	98,170	98,109	98,160	98,184	98,177	98,190	98,200	98,138	98,068	99,974
983,00	100,013	98,176	98,197	98,186	98,194	98,210	98,195	98,194	98,183	98,221	97,979	98,193	98,200	98,235	98,232	98,209	98,206	98,242	98,243	98,210	98,208	98,214	98,209	98,230	98,234	98,220	98,204	98,224	98,236	98,214	98,189	98,180	98,226	98,228	98,218	98,199	98,209	98,237	98,219	98,230	98,201	98,180	98,146	98,201	98,220	98,230	98,215	98,208	98,213	98,237	98,225	98,174	98,164	98,222	98,205	98,125	98,216	98,234	98,243	98,216	98,203	98,203	98,213	98,203	98,224	98,097	98,188	98,233	98,232	98,239	98,177	98,164	98,206	98,229	98,213	98,242	98,248	98,234	98,232	98,246	98,232	98,142	98,214	98,213	98,245	98,259	98,223	98,228	98,252	98,246	98,225	98,151	98,189	98,162	98,204	98,207	98,202	98,206	98,211	98,188	98,122	100,020
983,20	100,013	98,163	98,134	98,166	98,173	98,164	98,192	98,157	98,159	98,178	97,967	98,165	98,181	98,211	98,193	98,173	98,192	98,211	98,198	98,184	98,179	98,189	98,170	98,194	98,210	98,192	98,180	98,201	98,204	98,160	98,153	98,154	98,197	98,195	98,190	98,161	98,180	98,205	98,191	98,198	98,179	98,151	98,122	98,178	98,188	98,186	98,178	98,185	98,179	98,209	98,175	98,118	98,144	98,178	98,179	98,094	98,174	98,207	98,199	98,198	98,162	98,166	98,180	98,190	98,208	98,044	98,186	98,186	98,219	98,201	98,161	98,113	98,150	98,199	98,202	98,212	98,211	98,225	98,206	98,210	98,214	98,143	98,163	98,195	98,192	98,218	98,171	98,207	98,213	98,228	98,190	98,127	98,180	98,120	98,189	98,194	98,176	98,204	98,201	98,143	98,087	100,000
983,40	99,981	98,132	98,139	98,152	98,194	98,195	98,179	98,173	98,149	98,190	97,942	98,155	98,177	98,215	98,193	98,169	98,183	98,212	98,212	98,193	98,184	98,190	98,179	98,202	98,204	98,193	98,179	98,198	98,206	98,180	98,158	98,155	98,171	98,196	98,189	98,173	98,185	98,204	98,194	98,193	98,180	98,155	98,126	98,180	98,183	98,211	98,191	98,183	98,187	98,205	98,200	98,154	98,140	98,194	98,176	98,101	98,184	98,204	98,204	98,191	98,182	98,159	98,183	98,189	98,189	98,066	98,162	98,199	98,194	98,197	98,152	98,125	98,178	98,193	98,195	98,221	98,201	98,205	98,209	98,215	98,200	98,123	98,177	98,204	98,207	98,219	98,195	98,208	98,214	98,221	98,211	98,145	98,177	98,135	98,174	98,190	98,187	98,185	98,195	98,166	98,086	99,973
